#{"t_start": 1665657962.7080138, "env_id": null}
r,l,t
315.51842,820,2482.681952
313.720327,855,2491.664335
316.216202,799,2500.378932
312.811528,905,2510.16412
314.608416,796,2518.864723
316.20956,792,2527.465721
316.294748,803,2536.134921
268.871818,739,2543.761776
315.339735,801,2552.367577
316.502866,813,2560.824575
316.345816,806,2569.880578
316.794158,791,2578.527424
305.634693,834,2587.294574
313.590682,965,2597.41656
224.405283,591,2603.860216
317.596536,785,2612.234288
315.635926,790,2620.493026
314.175831,855,2629.405254
315.778762,794,2638.242634
317.401243,790,2646.518995
316.438359,788,2654.78268
312.508095,841,2663.630354
317.271022,790,2671.906308
253.565601,703,2679.233824
316.261318,811,2687.658835
175.210978,477,2692.541331
305.235121,843,2702.116626
317.262126,784,2710.839048
316.561531,802,2719.59001
314.214018,820,2728.497232
300.559392,859,2737.527659
318.076664,784,2746.085151
316.188501,822,2754.718515
315.935026,799,2763.069227
316.181303,828,2771.639738
316.274975,834,2780.10237
311.38879,918,2789.659904
314.472482,831,2798.242163
316.768879,787,2806.393271
317.313799,804,2815.318817
315.194094,835,2824.389497
243.466269,673,2831.248675
292.667105,773,2839.225939
316.899947,808,2848.327493
318.111853,796,2857.061033
315.568648,864,2866.409427
313.589377,852,2875.324326
315.776651,828,2884.31989
317.181819,812,2892.837539
314.632064,852,2902.291262
317.002932,843,2911.0025
262.805728,837,2919.678146
316.464221,828,2928.410394
259.406753,731,2936.435952
317.59133,786,2944.653997
313.126501,870,2954.084801
317.511696,797,2962.679056
315.556704,787,2970.773109
316.81758,822,2979.65226
316.059838,804,2988.428674
316.408864,812,2996.836632
311.660315,862,3005.942431
314.906083,867,3014.895973
308.351197,945,3024.662188
313.695108,851,3033.429313
313.04964,881,3042.540205
313.265054,965,3153.354825
